time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,visibility,ozone,precipType,precipAccumulation
1449900000,Foggy,fog,0,0,-12.09,-12.09,-17.3,0.65,1035.8,0.48,,,180.0,0.64,1,2.997,,,
1449903600,Mostly Cloudy,partly-cloudy-day,0,0,-11.74,-11.74,-15.98,0.71,,1,,,,0.75,0,4.004,,,
1449907200,Mostly Cloudy,partly-cloudy-day,0,0,-12.75,-12.75,-17.0,0.71,,1,,,,0.75,0,4.004,,,
1449910800,Foggy,fog,0,0,-15.23,-15.23,-18.81,0.74,1037.9,0.48,,,161.0,0.75,0,2.997,,,
1449914400,Foggy,fog,0,0,-17.73,-17.73,-19.99,0.83,,1,,,,0.75,0,2.997,,,
1449918000,Partly Cloudy,partly-cloudy-night,0,0,-16.74,-21.96,-19.99,0.76,,2,,,161.0,0.44,0,4.004,,,
1449921600,Partly Cloudy,partly-cloudy-night,0,0,-18.22,-23.68,-21.34,0.76,1039.4,2,,,151.0,0.53,0,6.004,,,
1449925200,Partly Cloudy,partly-cloudy-night,0,0,-17.73,-17.73,-20.99,0.76,,1,,,,0.44,0,6.004,,,
1449928800,Partly Cloudy,partly-cloudy-night,0,0,-17.73,-23.12,-20.99,0.76,,2,,,180.0,0.44,0,6.004,,,
1449932400,Partly Cloudy,partly-cloudy-night,0,0,-17.17,-17.17,-19.31,0.83,1038.1,0.48,,,180.0,0.59,0,5.002,,,
1449936000,Mostly Cloudy,partly-cloudy-night,0,0,-14.72,-14.72,-17.99,0.76,,0,,,,0.75,0,5.002,,,
1449939600,Mostly Cloudy,partly-cloudy-night,0,0,-14.72,-14.72,-17.99,0.76,,0,,,,0.75,0,5.002,,,
1449943200,Mostly Cloudy,partly-cloudy-night,0,0,-13.7,-13.7,-15.93,0.83,1035.8,0.48,,,180.0,0.87,0,5.002,,,
1449946800,Mostly Cloudy,partly-cloudy-night,0,0,-12.75,-12.75,-14.98,0.83,,0,,,,0.75,0,5.002,,,
1449950400,Partly Cloudy,partly-cloudy-night,0,0,-13.75,-13.75,-15.98,0.83,,0,,,,0.44,0,5.002,,,
1449954000,Mostly Cloudy,partly-cloudy-night,0,0,-13.0,-13.0,-15.08,0.84,1033.4,0,,,,0.71,0,4.004,,,
1449957600,Partly Cloudy,partly-cloudy-night,0,0,-12.75,-12.75,-14.98,0.83,,0,,,,0.44,0,4.004,,,
1449961200,Partly Cloudy,partly-cloudy-night,0,0,-12.75,-12.75,-14.98,0.83,,0,,,,0.44,0,4.004,,,
1449964800,Mostly Cloudy,partly-cloudy-night,0,0,-12.75,-12.75,-14.84,0.84,1032.5,0,,,,0.71,0,4.004,,,
1449968400,Foggy,fog,0,0,-11.74,-11.74,-14.01,0.83,,0,,,,0.44,0,2.997,,,
1449972000,Foggy,fog,0,0,-11.74,-11.74,-14.01,0.83,,1,,,,0.44,0,2.003,,,
1449975600,Mostly Cloudy,partly-cloudy-day,0,0,-10.99,-16.7,-13.92,0.79,1031.8,3,,,200.0,0.71,1,4.004,,,
1449979200,Partly Cloudy,partly-cloudy-day,0,0,-10.75,-14.98,-14.01,0.77,,2,,,180.0,0.44,1,5.002,,,
1449982800,Partly Cloudy,partly-cloudy-day,0,0,-11.74,-16.13,-14.01,0.83,,2,,,191.0,0.44,1,5.002,,,
1449986400,Foggy,fog,0,0,-11.89,-16.32,-14.47,0.81,1030.6,2,,,176.0,0.71,1,3.201,,,
1449990000,Partly Cloudy,partly-cloudy-day,0,0,-11.74,-11.74,-14.98,0.77,,1,,,,0.44,0,6.004,,,
1449993600,Partly Cloudy,partly-cloudy-day,0,0,-11.74,-11.74,-14.98,0.77,,1,,,,0.44,0,5.002,,,
1449997200,Mostly Cloudy,partly-cloudy-night,0,0,-12.75,-17.32,-14.98,0.83,1030.5,2,,,208.0,0.71,0,5.002,,,
1450000800,Partly Cloudy,partly-cloudy-night,0,0,-12.75,-17.32,-14.98,0.83,,2,,,161.0,0.44,0,10.003,,,
1450004400,Partly Cloudy,partly-cloudy-night,0,0,-12.75,-17.32,-14.98,0.83,,2,,,161.0,0.44,0,8.005,,,
1450008000,Mostly Cloudy,partly-cloudy-night,0,0,-13.95,-19.52,-16.17,0.83,1032.0,2.48,,,196.0,0.71,0,10.003,,,
1450011600,Partly Cloudy,partly-cloudy-night,0,0,-12.75,-17.32,-14.98,0.83,,2,,,191.0,0.44,0,8.005,,,
1450015200,Partly Cloudy,partly-cloudy-night,0,0,-20.73,-20.73,-22.99,0.82,,1,,,,0.44,0,10.003,,,
1450018800,Mostly Cloudy,partly-cloudy-night,0,0,-17.46,-23.68,-19.62,0.83,1033.6,2.48,,,169.0,0.65,0,10.003,,,
1450022400,Partly Cloudy,partly-cloudy-night,0,0,-14.72,-19.61,-17.0,0.83,,2,,,180.0,0.44,0,10.003,,,
1450026000,Partly Cloudy,partly-cloudy-night,0,0,-13.75,-18.48,-17.0,0.76,,2,,,140.0,0.44,0,10.003,,,
1450029600,Mostly Cloudy,partly-cloudy-night,0,0,-14.51,-14.51,-16.95,0.82,1031.8,0.48,,,180.0,0.65,0,10.003,,,
1450033200,Partly Cloudy,partly-cloudy-night,0,0,-13.75,-18.48,-17.0,0.76,,2,,,260.0,0.44,0,10.003,,,
1450036800,Partly Cloudy,partly-cloudy-night,0,0,-14.72,-19.61,-17.0,0.83,,2,,,260.0,0.44,0,10.003,,,
1450040400,Mostly Cloudy,partly-cloudy-night,0,0,-14.93,-14.93,-17.37,0.82,1031.8,1,,,,0.81,0,10.003,,,
1450044000,Mostly Cloudy,partly-cloudy-night,0,0,-14.72,-14.72,-17.99,0.76,,1,,,,0.75,0,10.003,,,
1450047600,Mostly Cloudy,partly-cloudy-night,0,0,-15.72,-22.39,-19.01,0.76,,3,,,180.0,0.75,0,10.003,,,
1450051200,Partly Cloudy,partly-cloudy-night,0,0,-16.85,-23.74,-19.99,0.77,1033.8,3,,,189.0,0.59,0,10.003,,,
1450054800,Partly Cloudy,partly-cloudy-day,0,0,-17.73,-17.73,-19.99,0.83,,0,,,,0.44,0,10.003,,,
1450058400,Partly Cloudy,partly-cloudy-day,0,0,-21.75,-21.75,-25.02,0.75,,0,,,,0.44,0,10.003,,,
1450062000,Clear,clear-day,0,0,-17.19,-17.19,-21.67,0.68,1035.9,1,,,314.0,0.29,1,10.003,,,
1450065600,Partly Cloudy,partly-cloudy-day,0,0,-18.74,-26.02,-22.01,0.75,,3,,,150.0,0.44,1,10.003,,,
1450069200,Partly Cloudy,partly-cloudy-day,0,0,-16.74,-21.96,-19.99,0.76,,2,,,191.0,0.44,1,10.003,,,
1450072800,Partly Cloudy,partly-cloudy-day,0,0,-16.9,-23.8,-20.33,0.75,1035.0,3,,,165.0,0.41,1,10.003,,,
1450076400,Clear,clear-day,0,0,-14.72,-21.19,-19.01,0.7,,3,,,180.0,0.19,0,10.003,,,
1450080000,Clear,clear-day,0,0,-18.74,-24.3,-22.01,0.75,,2,,,180.0,0.19,0,10.003,,,
1450083600,Partly Cloudy,partly-cloudy-night,0,0,-15.5,-19.5,-18.09,0.8,1037.4,1.53,,,160.0,0.47,0,10.003,,,
1450087200,Partly Cloudy,partly-cloudy-night,0,0,-17.73,-17.73,-19.99,0.83,,1,,,,0.44,0,10.003,,,
1450090800,Mostly Cloudy,partly-cloudy-night,0,0,-13.75,-18.48,-15.98,0.83,,2,,,180.0,0.75,0,10.003,,,
1450094400,Partly Cloudy,partly-cloudy-night,0,0,-14.93,-19.85,-17.42,0.81,1038.1,2,,,335.0,0.59,0,10.003,,,
1450098000,Partly Cloudy,partly-cloudy-night,0,0,-16.74,-21.96,-19.99,0.76,,2,,,330.0,0.44,0,10.003,,,
1450101600,Partly Cloudy,partly-cloudy-night,0,0,-16.74,-21.96,-19.01,0.83,,2,,,170.0,0.44,0,10.003,,,
1450105200,Partly Cloudy,partly-cloudy-night,0,0,-18.51,-24.91,-20.53,0.84,1040.7,2.48,,,164.0,0.59,0,10.003,,,
1450108800,Mostly Cloudy,partly-cloudy-night,0,0,-16.74,-21.96,-19.01,0.83,,2,,,170.0,0.75,0,10.003,,,
1450112400,Mostly Cloudy,partly-cloudy-night,0,0,-14.72,-19.61,-17.99,0.76,,2,,,,0.75,0,10.003,,,
1450116000,Mostly Cloudy,partly-cloudy-night,0,0,-13.13,-22.12,-17.05,0.72,1040.3,6,,,301.0,0.81,0,10.003,,,
1450119600,Mostly Cloudy,partly-cloudy-night,0,0,-13.75,-20.02,-17.0,0.76,,3,,,311.0,0.75,0,10.003,,,
1450123200,Mostly Cloudy,partly-cloudy-night,0,0,-13.75,-20.02,-17.0,0.76,,3,,,311.0,0.75,0,10.003,,,
1450126800,Partly Cloudy,partly-cloudy-night,0,0,-18.71,-25.98,-22.19,0.74,1043.2,3,,,270.0,0.41,0,10.003,,,
1450130400,Partly Cloudy,partly-cloudy-night,0,0,-16.74,-23.61,-19.99,0.76,,3,,,270.0,0.44,0,10.003,,,
1450134000,Partly Cloudy,partly-cloudy-night,0,0,-18.74,-24.3,-22.01,0.75,,2,,,,0.44,0,10.003,,,
1450137600,Partly Cloudy,partly-cloudy-night,0,0,-18.78,-24.34,-21.2,0.81,1045.2,2,,,211.0,0.47,0,10.003,,,
1450141200,Partly Cloudy,partly-cloudy-day,0,0,-18.74,-24.3,-22.01,0.75,,2,,,,0.44,0,10.003,,,
1450144800,Clear,clear-day,0,0,-17.73,-23.12,-20.99,0.76,,2,,,,0.19,0,10.003,,,
1450148400,Clear,clear-day,0,0,-22.31,-29.42,-26.0,0.72,1048.9,2.48,,,191.0,0.28,1,10.003,,,
1450152000,Clear,clear-day,0,0,-16.74,-24.85,-20.99,0.7,,4.01,,,180.0,0.19,1,10.003,,,
1450155600,Clear,clear-day,0,0,-15.72,-15.72,-22.01,0.58,,0,,,,0.19,1,10.003,,,
1450159200,Clear,clear-day,0,0,-17.32,-25.57,-21.87,0.68,1045.8,4.01,,,195.0,0.16,1,10.003,,,
1450162800.0,,,0.0,0.0,-17.73,-24.8,-22.01,0.69,,3.0,,,191.0,,,10.003,,,
1450166400.0,,,0.0,0.0,-21.75,-27.8,-25.02,0.75,,2.0,,,180.0,,,10.003,,,
1450170000,Clear,clear-night,0,0,-24.03,-31.45,-27.81,0.71,1050.4,2.48,,,176.0,0.25,0,10.003,,,
1450173600.0,,,0.0,0.0,-23.73,-32.02,-26.99,0.74,,3.0,,,191.0,,0.0,10.003,,,
1450177200.0,,,0.0,0.0,-25.74,-34.42,-28.97,0.74,,3.0,,,161.0,,0.0,10.003,,,
1450180800.0,,,0.0,0.0,-23.59,-23.59,-27.72,0.69,1052.6,0.48,,,161.0,,0.0,10.003,,,
1450184400.0,,,0.0,0.0,-28.71,-28.71,-32.03,0.73,,0.0,,,,,0.0,10.003,,,
1450188000.0,,,0.0,0.0,-28.71,-28.71,-32.99,0.67,,0.0,,,,,0.0,10.003,,,
1450191600.0,,,0.0,0.0,-27.27,-27.27,-30.14,0.77,1052.4,0.0,,,,,0.0,10.003,,,
1450195200.0,,,0.0,0.0,-27.75,-27.75,-31.02,0.74,,0.0,,,,,0.0,10.003,,,
1450198800.0,,,0.0,0.0,-27.75,-27.75,-32.03,0.67,,0.0,,,,,0.0,10.003,,,
1450202400.0,,,0.0,0.0,-25.72,-25.72,-28.61,0.77,1051.9,0.48,,,140.0,,0.0,10.003,,,
1450206000.0,,,0.0,0.0,-24.76,-24.76,-28.01,0.74,,1.0,,,,,0.0,10.003,,,
1450209600,Clear,clear-night,0,0,-26.73,-26.73,-30.02,0.74,,1,,,,0.0,0,8.005,,,
1450213200,Clear,clear-night,0,0,-27.56,-35.62,-31.31,0.7,1051.9,2.48,,,172.0,0.0,0,8.005,,,
1450216800,Clear,clear-night,0,0,-26.73,-33.6,-31.02,0.67,,2,,,161.0,0.0,0,6.004,,,
1450220400,Clear,clear-night,0,0,-27.75,-27.75,-31.02,0.74,,1,,,,0.0,0,6.004,,,
1450224000,Clear,clear-night,0,0,-26.65,-26.65,-29.68,0.76,1051.2,1,,,161.0,0.0,0,6.004,,,
1450227600,Clear,clear-day,0,0,-27.75,-27.75,-31.02,0.74,,0,,,,0.0,0,4.004,,,
1450231200,Foggy,fog,0,0,-24.76,-24.76,-28.01,0.74,,1,,,,0.0,0,2.997,,,
1450234800,Foggy,fog,0,0,-23.09,-23.09,-26.15,0.76,1047.1,0.48,,,200.0,0.0,1,2.997,,,
1450238400,Foggy,fog,0,0,-21.75,-21.75,-24.0,0.82,,0,,,,0.0,1,2.997,,,
1450242000,Foggy,fog,0,0,-19.72,-19.72,-22.01,0.82,,0,,,,0.0,1,2.003,,,
1450245600,Foggy,fog,0,0,-18.95,-18.95,-22.86,0.71,1042.3,1,,,149.0,,,2.997,,,
1450249200,Clear,clear-day,0,0,-17.73,-23.12,-22.99,0.63,,2,,,200.0,0.0,0,4.004,,,
1450252800,Clear,clear-day,0,0,-17.73,-17.73,-22.01,0.69,,0,,,,0.0,0,4.004,,,
1450256400,Clear,clear-night,0,0,-22.7,-27.71,-26.0,0.74,1042.4,1.53,,,180.0,0.12,0,4.004,,,
1450260000,Clear,clear-night,0,0,-24.76,-31.3,-28.01,0.74,,2,,,180.0,0.0,0,4.004,,,
1450263600,Clear,clear-night,0,0,-22.73,-22.73,-26.99,0.68,,1,,,,0.0,0,4.004,,,
1450267200,Clear,clear-night,0,0,-24.61,-24.61,-27.66,0.76,1043.4,0,,,,0.0,0,4.004,,,
1450270800,Clear,clear-night,0,0,-24.76,-24.76,-28.01,0.74,,0,,,,0.0,0,4.004,,,
1450274400,Clear,clear-night,0,0,-25.74,-25.74,-28.97,0.74,,0,,,,0.0,0,4.004,,,
1450278000,Clear,clear-night,0,0,-24.29,-24.29,-27.05,0.78,1042.4,1,,,140.0,0.0,0,5.002,,,
1450281600,Clear,clear-night,0,0,-24.76,-24.76,-28.01,0.74,,1,,,,0.0,0,5.002,,,
1450285200,Clear,clear-night,0,0,-23.73,-23.73,-26.99,0.74,,1,,,,0.0,0,5.002,,,
1450288800,Clear,clear-night,0,0,-25.09,-25.09,-28.16,0.76,1042.3,0,,,,0.0,0,5.002,,,
1450292400,Clear,clear-night,0,0,-24.76,-24.76,-28.01,0.74,,0,,,,0.0,0,5.002,,,
1450296000,Clear,clear-night,0,0,-24.76,-24.76,-28.97,0.68,,0,,,,0.0,0,5.002,,,
1450299600,Clear,clear-night,0,0,-24.86,-24.86,-27.92,0.76,1042.1,0,,,,0.12,0,5.002,,,
1450303200,Clear,clear-night,0,0,-26.73,-33.6,-30.02,0.74,,2,,,131.0,0.0,0,5.002,,,
1450306800,Clear,clear-night,0,0,-25.74,-32.44,-28.97,0.74,,2,,,110.0,0.0,0,4.004,,,
1450310400,Clear,clear-night,0,0,-26.47,-32.03,-29.49,0.76,1043.8,1.53,,,140.0,0.0,0,4.004,,,
1450314000,Clear,clear-day,0,0,-24.76,-24.76,-28.01,0.74,,0,,,,0.0,0,4.004,,,
1450317600,Foggy,fog,0,0,-26.73,-26.73,-30.02,0.74,,0,,,,0.0,0,2.997,,,
1450321200,Foggy,fog,0,0,-24.12,-24.12,-27.23,0.75,1042.9,0.48,,,161.0,0.0,1,2.997,,,
1450324800,Foggy,fog,0,0,-20.73,-20.73,-24.0,0.75,,0,,,,0.0,1,2.003,,,
1450328400,Foggy,fog,0,0,-18.74,-24.3,-22.01,0.75,,2,,,170.0,0.0,1,2.997,,,
1450332000,Foggy,fog,0,0,-16.8,-16.8,-22.2,0.63,1039.4,0,,,,0.13,1,2.997,,,
1450335600,Foggy,fog,0,0,-17.73,-17.73,-22.01,0.69,,0,,,,0.0,0,2.997,,,
1450339200,Clear,clear-day,0,0,-17.73,-17.73,-22.01,0.69,,1,,,,0.0,0,4.004,,,
1450342800,Clear,clear-night,0,0,-23.14,-29.42,-26.29,0.75,1042.5,2,,,165.0,0.13,0,5.002,,,
1450346400,Clear,clear-night,0,0,-21.75,-27.8,-24.0,0.82,,2,,,161.0,0.0,0,5.002,,,
1450350000,Clear,clear-night,0,0,-23.73,-30.11,-26.99,0.74,,2,,,170.0,0.0,0,5.002,,,
1450353600,Clear,clear-night,0,0,-23.08,-28.16,-25.91,0.78,1044.2,1.53,,,207.0,0.0,0,5.002,,,
1450357200,Clear,clear-night,0,0,-23.73,-23.73,-26.99,0.74,,0,,,,0.0,0,5.002,,,
1450360800,Clear,clear-night,0,0,-23.73,-30.11,-26.99,0.74,,2,,,161.0,0.0,0,5.002,,,
1450364400,Clear,clear-night,0,0,-23.75,-28.92,-26.15,0.81,1044.9,1.53,,,159.0,0.0,0,5.002,,,
1450368000,Clear,clear-night,0,0,-25.74,-25.74,-28.01,0.81,,0,,,,0.0,0,5.002,,,
1450371600,Clear,clear-night,0,0,-26.73,-26.73,-30.02,0.74,,0,,,,0.0,0,5.002,,,
1450375200,Clear,clear-night,0,0,-27.48,-27.48,-30.54,0.75,1046.6,0,,,,0.0,0,5.002,,,
1450378800,Clear,clear-night,0,0,-27.75,-27.75,-31.02,0.74,,0,,,,0.0,0,5.002,,,
1450382400,Clear,clear-night,0,0,-26.73,-26.73,-28.97,0.81,,0,,,,0.0,0,4.004,,,
1450386000,Clear,clear-night,0,0,-26.58,-26.58,-29.83,0.74,1045.8,0.48,,,140.0,0.0,0,4.004,,,
1450389600,Clear,clear-night,0,0,-29.76,-29.76,-32.99,0.73,,1,,,,0.0,0,4.004,,,
1450393200,Clear,clear-night,0,0,-27.75,-27.75,-32.03,0.67,,1,,,,0.0,0,4.004,,,
1450396800,Foggy,fog,0,0,-27.12,-27.12,-30.67,0.72,1045.2,0.48,,,71.0,0.13,0,2.997,,,
1450400400,Clear,clear-day,0,0,-27.75,-27.75,-31.02,0.74,,0,,,,0.0,0,4.004,,,
1450404000,Foggy,fog,0,0,-25.74,-25.74,-28.97,0.74,,0,,,,0.0,0,2.997,,,
1450407600,Clear,clear-day,0,0,-22.1,-22.1,-24.63,0.8,1043.2,0,,,,0.0,1,4.004,,,
1450411200,Clear,clear-day,0,0,-21.75,-21.75,-25.02,0.75,,0,,,,0.0,1,4.004,,,
1450414800,Clear,clear-day,0,0,-18.74,-18.74,-22.01,0.75,,1,,,,0.0,1,5.002,,,
1450418400,Clear,clear-day,0,0,-17.71,-17.71,-20.7,0.77,1038.1,1,,,126.0,0.0,1,6.004,,,
1450422000,Clear,clear-day,0,0,-16.74,-16.74,-20.99,0.7,,0,,,,0.0,0,6.004,,,
1450425600,Clear,clear-day,0,0,-17.73,-17.73,-22.99,0.63,,1,,,,0.0,0,6.004,,,
1450429200,Clear,clear-night,0,0,-22.09,-22.09,-26.02,0.7,1040.6,1,,,124.0,0.0,0,6.004,,,
1450432800,Clear,clear-night,0,0,-20.73,-20.73,-24.0,0.75,,0,,,,0.0,0,6.004,,,
1450436400,Clear,clear-night,0,0,-26.73,-33.6,-28.97,0.81,,2,,,161.0,0.0,0,6.004,,,
1450440000,Clear,clear-night,0,0,-25.23,-32.97,-28.34,0.75,1042.8,2.53,,,173.0,0.0,0,6.004,,,
1450443600,Clear,clear-night,0,0,-23.73,-23.73,-26.99,0.74,,0,,,,0.0,0,6.004,,,
1450447200,Clear,clear-night,0,0,-24.76,-24.76,-26.99,0.82,,0,,,,0.0,0,5.002,,,
1450450800,Clear,clear-night,0,0,-27.51,-34.51,-30.54,0.75,1043.6,2,,,195.0,0.0,0,5.002,,,
1450454400,Clear,clear-night,0,0,-28.71,-35.91,-32.03,0.73,,2,,,161.0,0.0,0,5.002,,,
1450458000,Clear,clear-night,0,0,-26.73,-26.73,-30.02,0.74,,1,,,,0.0,0,5.002,,,
1450461600,Clear,clear-night,0,0,-27.37,-34.35,-30.59,0.74,1043.5,2,,,161.0,0.0,0,5.002,,,
1450465200,Clear,clear-night,0,0,-27.75,-27.75,-32.03,0.67,,1,,,,0.0,0,5.002,,,
1450468800,Clear,clear-night,0,0,-28.71,-28.71,-32.03,0.73,,1,,,,0.0,0,5.002,,,
1450472400,Clear,clear-night,0,0,-30.04,-30.04,-33.7,0.7,1043.1,1,,,161.0,0.0,0,5.002,,,
1450476000,Clear,clear-night,0,0,-28.71,-28.71,-32.99,0.67,,1,,,,0.0,0,5.002,,,
1450479600,Clear,clear-night,0,0,-28.71,-35.91,-32.03,0.73,,2,,,170.0,0.0,0,5.002,,,
1450483200,Clear,clear-night,0,0,-28.24,-28.24,-31.44,0.74,1041.9,0.48,,,180.0,0.0,0,5.002,,,
1450486800,Foggy,fog,0,0,-28.71,-35.91,-32.03,0.73,,2,,,170.0,0.0,0,2.997,,,
1450490400,Foggy,fog,0,0,-25.74,-32.44,-28.97,0.74,,2,,,170.0,0.0,0,2.997,,,
1450494000,Foggy,fog,0,0,-24.57,-24.57,-27.67,0.75,1038.1,1,,,140.0,0.0,1,2.997,,,
1450497600,Foggy,fog,0,0,-21.75,-21.75,-25.02,0.75,,1,,,,0.0,1,3.201,,,
1450501200,Clear,clear-day,0,0,-17.73,-17.73,-20.99,0.76,,0,,,,0.0,1,3.6,,,
1450504800,Clear,clear-day,0,0,-18.09,-18.09,-22.2,0.7,1032.1,0.48,,,230.0,0.0,1,5.002,,,
1450508400,Clear,clear-day,0,0,-17.73,-23.12,-22.99,0.63,,2,,,170.0,0.0,0,6.004,,,
1450512000,Clear,clear-day,0,0,-16.74,-16.74,-22.99,0.58,,0,,,,0.0,0,6.004,,,
1450515600,Clear,clear-night,0,0,-19.93,-24.56,-24.63,0.66,1032.8,1.53,,,123.0,0.0,0,8.005,,,
1450519200,Clear,clear-night,0,0,-20.73,-20.73,-24.0,0.75,,1,,,,0.0,0,6.004,,,
1450522800,Clear,clear-night,0,0,-22.73,-30.81,-26.0,0.75,,3,,,170.0,0.0,0,6.004,,,
1450526400,Clear,clear-night,0,0,-26.71,-33.69,-30.89,0.68,1036.0,2.05,,,163.0,0.0,0,6.004,,,
1450530000,Clear,clear-night,0,0,-26.73,-33.6,-30.02,0.74,,2,,,161.0,0.0,0,6.004,,,
1450533600,Clear,clear-night,0,0,-26.73,-33.6,-30.02,0.74,,2,,,170.0,0.0,0,6.004,,,
1450537200,Clear,clear-night,0,0,-29.2,-34.99,-32.18,0.75,1036.8,1.48,,,180.0,0.0,0,6.004,,,
1450540800,Clear,clear-night,0,0,-28.71,-28.71,-32.03,0.73,,1,,,,0.0,0,6.004,,,
1450544400,Clear,clear-night,0,0,-28.71,-28.71,-32.03,0.73,,1,,,,0.0,0,5.002,,,
1450548000,Clear,clear-night,0,0,-29.05,-34.82,-32.09,0.75,1036.6,1.48,,,161.0,0.0,0,5.002,,,
1450551600,Clear,clear-night,0,0,-26.73,-26.73,-30.02,0.74,,1,,,,0.0,0,5.002,,,
1450555200,Clear,clear-night,0,0,-28.71,-28.71,-32.03,0.73,,1,,,,0.0,0,5.002,,,
1450558800,Clear,clear-night,0,0,-30.76,-30.76,-33.97,0.73,1037.0,0,,,,0.0,0,5.002,,,
1450562400,Clear,clear-night,0,0,-31.77,-31.77,-35.03,0.73,,0,,,,0.0,0,5.002,,,
1450566000,Clear,clear-night,0,0,-30.76,-30.76,-33.97,0.73,,0,,,,0.0,0,6.004,,,
1450569600,Clear,clear-night,0,0,-29.34,-29.34,-33.26,0.69,1037.6,0.48,,,180.0,0.0,0,5.002,,,
1450573200,Clear,clear-day,0,0,-30.76,-30.76,-33.97,0.73,,0,,,,0.0,0,4.004,,,
1450576800,Clear,clear-day,0,0,-28.71,-28.71,-32.99,0.67,,0,,,,0.0,0,4.004,,,
1450580400,Clear,clear-day,0,0,-26.5,-26.5,-29.68,0.75,1035.6,0.48,,,161.0,0.0,0,4.004,,,
1450584000,Foggy,fog,0,0,-22.73,-22.73,-26.0,0.75,,0,,,,0.0,1,2.997,,,
1450587600,Foggy,fog,0,0,-20.73,-20.73,-22.99,0.82,,0,,,,0.0,1,2.997,,,
1450591200,Foggy,fog,0,0,-20.83,-20.83,-23.94,0.76,1031.5,0.48,,,180.0,0.0,1,2.997,,,
1450594800,Foggy,fog,0,0,-18.74,-18.74,-22.99,0.69,,0,,,,0.0,0,2.997,,,
1450598400,Clear,clear-day,0,0,-20.73,-20.73,-25.02,0.68,,0,,,,0.0,0,4.004,,,
1450602000,Clear,clear-night,0,0,-24.57,-24.57,-27.53,0.76,1034.7,0.48,,,161.0,0.0,0,4.004,,,
1450605600,Clear,clear-night,0,0,-25.74,-25.74,-30.02,0.67,,0,,,,0.0,0,4.004,,,
1450609200,Clear,clear-night,0,0,-28.71,-28.71,-32.03,0.73,,1,,,,0.0,0,5.002,,,
1450612800,Clear,clear-night,0,0,-28.5,-28.5,-32.09,0.71,1039.2,0.95,,,161.0,0.0,0,5.002,,,
1450616400,Clear,clear-night,0,0,-27.75,-27.75,-30.02,0.81,,0,,,,0.0,0,5.002,,,
1450620000,Clear,clear-night,0,0,-28.71,-28.71,-32.03,0.73,,1,,,,0.0,0,5.002,,,
1450623600,Clear,clear-night,0,0,-30.14,-30.14,-33.8,0.7,1042.0,0.48,,,161.0,0.0,0,5.002,,,
1450627200,Clear,clear-night,0,0,-27.75,-27.75,-31.02,0.74,,0,,,,0.0,0,5.002,,,
1450630800,Clear,clear-night,0,0,-29.76,-29.76,-33.97,0.67,,0,,,,0.0,0,5.002,,,
1450634400,Clear,clear-night,0,0,-31.01,-31.01,-34.27,0.73,1043.3,0.48,,,180.0,0.0,0,5.002,,,
1450638000,Clear,clear-night,0,0,-30.76,-30.76,-33.97,0.73,,1,,,,0.0,0,5.002,,,
1450641600,Clear,clear-night,0,0,-29.76,-37.13,-33.97,0.67,,2,,,161.0,0.0,0,5.002,,,
