id,type,source,unit,date,value1,value2,value3
62,PM2.5,Stateair.mn,µg/m3,2015-12-14 20:00:00,58.0,32.0,23.0
63,PM2.5,Stateair.mn,µg/m3,2015-12-14 21:00:00,50.0,58.0,32.0
64,PM2.5,Stateair.mn,µg/m3,2015-12-14 22:00:00,66.0,50.0,58.0
65,PM2.5,Stateair.mn,µg/m3,2015-12-14 23:00:00,34.0,66.0,50.0
66,PM2.5,Stateair.mn,µg/m3,2015-12-15 00:00:00,28.0,34.0,66.0
67,PM2.5,Stateair.mn,µg/m3,2015-12-15 01:00:00,34.0,28.0,34.0
68,PM2.5,Stateair.mn,µg/m3,2015-12-15 02:00:00,31.0,34.0,28.0
69,PM2.5,Stateair.mn,µg/m3,2015-12-15 03:00:00,29.0,31.0,34.0
70,PM2.5,Stateair.mn,µg/m3,2015-12-15 04:00:00,31.0,29.0,31.0
71,PM2.5,Stateair.mn,µg/m3,2015-12-15 05:00:00,26.0,31.0,29.0
72,PM2.5,Stateair.mn,µg/m3,2015-12-15 06:00:00,15.0,26.0,31.0
73,PM2.5,Stateair.mn,µg/m3,2015-12-15 07:00:00,15.0,15.0,26.0
74,PM2.5,Stateair.mn,µg/m3,2015-12-15 08:00:00,17.0,15.0,15.0
75,PM2.5,Stateair.mn,µg/m3,2015-12-15 09:00:00,16.0,17.0,15.0
76,PM2.5,Stateair.mn,µg/m3,2015-12-15 10:00:00,45.0,16.0,17.0
77,PM2.5,Stateair.mn,µg/m3,2015-12-15 11:00:00,50.0,45.0,16.0
78,PM2.5,Stateair.mn,µg/m3,2015-12-15 12:00:00,56.0,50.0,45.0
79,PM2.5,Stateair.mn,µg/m3,2015-12-15 13:00:00,79.0,56.0,50.0
80,PM2.5,Stateair.mn,µg/m3,2015-12-15 14:00:00,45.0,79.0,56.0
81,PM2.5,Stateair.mn,µg/m3,2015-12-15 15:00:00,41.0,45.0,79.0
82,PM2.5,Stateair.mn,µg/m3,2015-12-15 16:00:00,30.0,41.0,45.0
83,PM2.5,Stateair.mn,µg/m3,2015-12-15 17:00:00,32.0,30.0,41.0
84,PM2.5,Stateair.mn,µg/m3,2015-12-15 18:00:00,-999.0,32.0,30.0
85,PM2.5,Stateair.mn,µg/m3,2015-12-15 19:00:00,28.0,-999.0,32.0
86,PM2.5,Stateair.mn,µg/m3,2015-12-15 20:00:00,48.0,28.0,-999.0
87,PM2.5,Stateair.mn,µg/m3,2015-12-15 21:00:00,156.0,48.0,28.0
88,PM2.5,Stateair.mn,µg/m3,2015-12-15 22:00:00,287.0,156.0,48.0
89,PM2.5,Stateair.mn,µg/m3,2015-12-15 23:00:00,238.0,287.0,156.0
90,PM2.5,Stateair.mn,µg/m3,2015-12-16 00:00:00,201.0,238.0,287.0
91,PM2.5,Stateair.mn,µg/m3,2015-12-16 01:00:00,235.0,201.0,238.0
92,PM2.5,Stateair.mn,µg/m3,2015-12-16 02:00:00,210.0,235.0,201.0
93,PM2.5,Stateair.mn,µg/m3,2015-12-16 03:00:00,213.0,210.0,235.0
94,PM2.5,Stateair.mn,µg/m3,2015-12-16 04:00:00,249.0,213.0,210.0
95,PM2.5,Stateair.mn,µg/m3,2015-12-16 05:00:00,328.0,249.0,213.0
96,PM2.5,Stateair.mn,µg/m3,2015-12-16 06:00:00,424.0,328.0,249.0
97,PM2.5,Stateair.mn,µg/m3,2015-12-16 07:00:00,334.0,424.0,328.0
98,PM2.5,Stateair.mn,µg/m3,2015-12-16 08:00:00,265.0,334.0,424.0
99,PM2.5,Stateair.mn,µg/m3,2015-12-16 09:00:00,236.0,265.0,334.0
100,PM2.5,Stateair.mn,µg/m3,2015-12-16 10:00:00,344.0,236.0,265.0
101,PM2.5,Stateair.mn,µg/m3,2015-12-16 11:00:00,452.0,344.0,236.0
102,PM2.5,Stateair.mn,µg/m3,2015-12-16 12:00:00,690.0,452.0,344.0
103,PM2.5,Stateair.mn,µg/m3,2015-12-16 13:00:00,796.0,690.0,452.0
104,PM2.5,Stateair.mn,µg/m3,2015-12-16 14:00:00,442.0,796.0,690.0
105,PM2.5,Stateair.mn,µg/m3,2015-12-16 15:00:00,89.0,442.0,796.0
106,PM2.5,Stateair.mn,µg/m3,2015-12-16 16:00:00,111.0,89.0,442.0
107,PM2.5,Stateair.mn,µg/m3,2015-12-16 17:00:00,88.0,111.0,89.0
108,PM2.5,Stateair.mn,µg/m3,2015-12-16 18:00:00,88.0,88.0,111.0
109,PM2.5,Stateair.mn,µg/m3,2015-12-16 19:00:00,103.0,88.0,88.0
110,PM2.5,Stateair.mn,µg/m3,2015-12-16 20:00:00,114.0,103.0,88.0
111,PM2.5,Stateair.mn,µg/m3,2015-12-16 21:00:00,226.0,114.0,103.0
112,PM2.5,Stateair.mn,µg/m3,2015-12-16 22:00:00,247.0,226.0,114.0
113,PM2.5,Stateair.mn,µg/m3,2015-12-16 23:00:00,669.0,247.0,226.0
114,PM2.5,Stateair.mn,µg/m3,2015-12-17 00:00:00,384.0,669.0,247.0
115,PM2.5,Stateair.mn,µg/m3,2015-12-17 01:00:00,368.0,384.0,669.0
116,PM2.5,Stateair.mn,µg/m3,2015-12-17 02:00:00,283.0,368.0,384.0
117,PM2.5,Stateair.mn,µg/m3,2015-12-17 03:00:00,995.0,283.0,368.0
118,PM2.5,Stateair.mn,µg/m3,2015-12-17 04:00:00,281.0,995.0,283.0
119,PM2.5,Stateair.mn,µg/m3,2015-12-17 05:00:00,365.0,281.0,995.0
120,PM2.5,Stateair.mn,µg/m3,2015-12-17 06:00:00,368.0,365.0,281.0
121,PM2.5,Stateair.mn,µg/m3,2015-12-17 07:00:00,197.0,368.0,365.0
122,PM2.5,Stateair.mn,µg/m3,2015-12-17 08:00:00,138.0,197.0,368.0
123,PM2.5,Stateair.mn,µg/m3,2015-12-17 09:00:00,109.0,138.0,197.0
124,PM2.5,Stateair.mn,µg/m3,2015-12-17 10:00:00,139.0,109.0,138.0
125,PM2.5,Stateair.mn,µg/m3,2015-12-17 11:00:00,218.0,139.0,109.0
126,PM2.5,Stateair.mn,µg/m3,2015-12-17 12:00:00,292.0,218.0,139.0
127,PM2.5,Stateair.mn,µg/m3,2015-12-17 13:00:00,329.0,292.0,218.0
128,PM2.5,Stateair.mn,µg/m3,2015-12-17 14:00:00,167.0,329.0,292.0
129,PM2.5,Stateair.mn,µg/m3,2015-12-17 15:00:00,78.0,167.0,329.0
130,PM2.5,Stateair.mn,µg/m3,2015-12-17 16:00:00,68.0,78.0,167.0
131,PM2.5,Stateair.mn,µg/m3,2015-12-17 17:00:00,67.0,68.0,78.0
132,PM2.5,Stateair.mn,µg/m3,2015-12-17 18:00:00,86.0,67.0,68.0
133,PM2.5,Stateair.mn,µg/m3,2015-12-17 19:00:00,94.0,86.0,67.0
134,PM2.5,Stateair.mn,µg/m3,2015-12-17 20:00:00,111.0,94.0,86.0
135,PM2.5,Stateair.mn,µg/m3,2015-12-17 21:00:00,249.0,111.0,94.0
136,PM2.5,Stateair.mn,µg/m3,2015-12-17 22:00:00,572.0,249.0,111.0
137,PM2.5,Stateair.mn,µg/m3,2015-12-17 23:00:00,282.0,572.0,249.0
138,PM2.5,Stateair.mn,µg/m3,2015-12-18 00:00:00,875.0,282.0,572.0
139,PM2.5,Stateair.mn,µg/m3,2015-12-18 01:00:00,489.0,875.0,282.0
140,PM2.5,Stateair.mn,µg/m3,2015-12-18 02:00:00,835.0,489.0,875.0
141,PM2.5,Stateair.mn,µg/m3,2015-12-18 03:00:00,995.0,835.0,489.0
142,PM2.5,Stateair.mn,µg/m3,2015-12-18 04:00:00,763.0,995.0,835.0
143,PM2.5,Stateair.mn,µg/m3,2015-12-18 05:00:00,591.0,763.0,995.0
144,PM2.5,Stateair.mn,µg/m3,2015-12-18 06:00:00,421.0,591.0,763.0
145,PM2.5,Stateair.mn,µg/m3,2015-12-18 07:00:00,293.0,421.0,591.0
146,PM2.5,Stateair.mn,µg/m3,2015-12-18 08:00:00,294.0,293.0,421.0
147,PM2.5,Stateair.mn,µg/m3,2015-12-18 09:00:00,313.0,294.0,293.0
148,PM2.5,Stateair.mn,µg/m3,2015-12-18 10:00:00,409.0,313.0,294.0
149,PM2.5,Stateair.mn,µg/m3,2015-12-18 11:00:00,661.0,409.0,313.0
150,PM2.5,Stateair.mn,µg/m3,2015-12-18 12:00:00,632.0,661.0,409.0
151,PM2.5,Stateair.mn,µg/m3,2015-12-18 13:00:00,909.0,632.0,661.0
152,PM2.5,Stateair.mn,µg/m3,2015-12-18 14:00:00,342.0,909.0,632.0
153,PM2.5,Stateair.mn,µg/m3,2015-12-18 15:00:00,47.0,342.0,909.0
154,PM2.5,Stateair.mn,µg/m3,2015-12-18 16:00:00,46.0,47.0,342.0
155,PM2.5,Stateair.mn,µg/m3,2015-12-18 17:00:00,39.0,46.0,47.0
156,PM2.5,Stateair.mn,µg/m3,2015-12-18 18:00:00,61.0,39.0,46.0
157,PM2.5,Stateair.mn,µg/m3,2015-12-18 19:00:00,60.0,61.0,39.0
158,PM2.5,Stateair.mn,µg/m3,2015-12-18 20:00:00,66.0,60.0,61.0
159,PM2.5,Stateair.mn,µg/m3,2015-12-18 21:00:00,70.0,66.0,60.0
160,PM2.5,Stateair.mn,µg/m3,2015-12-18 22:00:00,230.0,70.0,66.0
161,PM2.5,Stateair.mn,µg/m3,2015-12-18 23:00:00,995.0,230.0,70.0
162,PM2.5,Stateair.mn,µg/m3,2015-12-19 00:00:00,422.0,995.0,230.0
163,PM2.5,Stateair.mn,µg/m3,2015-12-19 01:00:00,838.0,422.0,995.0
164,PM2.5,Stateair.mn,µg/m3,2015-12-19 02:00:00,995.0,838.0,422.0
165,PM2.5,Stateair.mn,µg/m3,2015-12-19 03:00:00,995.0,995.0,838.0
166,PM2.5,Stateair.mn,µg/m3,2015-12-19 04:00:00,502.0,995.0,995.0
167,PM2.5,Stateair.mn,µg/m3,2015-12-19 05:00:00,995.0,502.0,995.0
168,PM2.5,Stateair.mn,µg/m3,2015-12-19 06:00:00,898.0,995.0,502.0
169,PM2.5,Stateair.mn,µg/m3,2015-12-19 07:00:00,110.0,898.0,995.0
170,PM2.5,Stateair.mn,µg/m3,2015-12-19 08:00:00,474.0,110.0,898.0
171,PM2.5,Stateair.mn,µg/m3,2015-12-19 09:00:00,382.0,474.0,110.0
172,PM2.5,Stateair.mn,µg/m3,2015-12-19 10:00:00,424.0,382.0,474.0
173,PM2.5,Stateair.mn,µg/m3,2015-12-19 11:00:00,526.0,424.0,382.0
174,PM2.5,Stateair.mn,µg/m3,2015-12-19 12:00:00,785.0,526.0,424.0
175,PM2.5,Stateair.mn,µg/m3,2015-12-19 13:00:00,204.0,785.0,526.0
176,PM2.5,Stateair.mn,µg/m3,2015-12-19 14:00:00,118.0,204.0,785.0
177,PM2.5,Stateair.mn,µg/m3,2015-12-19 15:00:00,64.0,118.0,204.0
178,PM2.5,Stateair.mn,µg/m3,2015-12-19 16:00:00,48.0,64.0,118.0
179,PM2.5,Stateair.mn,µg/m3,2015-12-19 17:00:00,44.0,48.0,64.0
180,PM2.5,Stateair.mn,µg/m3,2015-12-19 18:00:00,55.0,44.0,48.0
181,PM2.5,Stateair.mn,µg/m3,2015-12-19 19:00:00,71.0,55.0,44.0
182,PM2.5,Stateair.mn,µg/m3,2015-12-19 20:00:00,128.0,71.0,55.0
183,PM2.5,Stateair.mn,µg/m3,2015-12-19 21:00:00,554.0,128.0,71.0
184,PM2.5,Stateair.mn,µg/m3,2015-12-19 22:00:00,613.0,554.0,128.0
185,PM2.5,Stateair.mn,µg/m3,2015-12-19 23:00:00,504.0,613.0,554.0
186,PM2.5,Stateair.mn,µg/m3,2015-12-20 00:00:00,529.0,504.0,613.0
187,PM2.5,Stateair.mn,µg/m3,2015-12-20 01:00:00,499.0,529.0,504.0
188,PM2.5,Stateair.mn,µg/m3,2015-12-20 02:00:00,995.0,499.0,529.0
189,PM2.5,Stateair.mn,µg/m3,2015-12-20 03:00:00,546.0,995.0,499.0
190,PM2.5,Stateair.mn,µg/m3,2015-12-20 04:00:00,406.0,546.0,995.0
191,PM2.5,Stateair.mn,µg/m3,2015-12-20 05:00:00,495.0,406.0,546.0
192,PM2.5,Stateair.mn,µg/m3,2015-12-20 06:00:00,361.0,495.0,406.0
193,PM2.5,Stateair.mn,µg/m3,2015-12-20 07:00:00,316.0,361.0,495.0
194,PM2.5,Stateair.mn,µg/m3,2015-12-20 08:00:00,225.0,316.0,361.0
195,PM2.5,Stateair.mn,µg/m3,2015-12-20 09:00:00,282.0,225.0,316.0
196,PM2.5,Stateair.mn,µg/m3,2015-12-20 10:00:00,303.0,282.0,225.0
197,PM2.5,Stateair.mn,µg/m3,2015-12-20 11:00:00,168.0,303.0,282.0
198,PM2.5,Stateair.mn,µg/m3,2015-12-20 12:00:00,187.0,168.0,303.0
199,PM2.5,Stateair.mn,µg/m3,2015-12-20 13:00:00,290.0,187.0,168.0
200,PM2.5,Stateair.mn,µg/m3,2015-12-20 14:00:00,231.0,290.0,187.0
201,PM2.5,Stateair.mn,µg/m3,2015-12-20 15:00:00,172.0,231.0,290.0
202,PM2.5,Stateair.mn,µg/m3,2015-12-20 16:00:00,142.0,172.0,231.0
203,PM2.5,Stateair.mn,µg/m3,2015-12-20 17:00:00,130.0,142.0,172.0
204,PM2.5,Stateair.mn,µg/m3,2015-12-20 18:00:00,121.0,130.0,142.0
205,PM2.5,Stateair.mn,µg/m3,2015-12-20 19:00:00,142.0,121.0,130.0
206,PM2.5,Stateair.mn,µg/m3,2015-12-20 20:00:00,169.0,142.0,121.0
207,PM2.5,Stateair.mn,µg/m3,2015-12-20 21:00:00,242.0,169.0,142.0
208,PM2.5,Stateair.mn,µg/m3,2015-12-20 22:00:00,301.0,242.0,169.0
209,PM2.5,Stateair.mn,µg/m3,2015-12-20 23:00:00,277.0,301.0,242.0
210,PM2.5,Stateair.mn,µg/m3,2015-12-21 00:00:00,253.0,277.0,301.0
211,PM2.5,Stateair.mn,µg/m3,2015-12-21 01:00:00,182.0,253.0,277.0
212,PM2.5,Stateair.mn,µg/m3,2015-12-21 02:00:00,419.0,182.0,253.0
213,PM2.5,Stateair.mn,µg/m3,2015-12-21 03:00:00,892.0,419.0,182.0
214,PM2.5,Stateair.mn,µg/m3,2015-12-21 04:00:00,190.0,892.0,419.0
215,PM2.5,Stateair.mn,µg/m3,2015-12-21 05:00:00,177.0,190.0,892.0
216,PM2.5,Stateair.mn,µg/m3,2015-12-21 06:00:00,441.0,177.0,190.0
217,PM2.5,Stateair.mn,µg/m3,2015-12-21 07:00:00,313.0,441.0,177.0
218,PM2.5,Stateair.mn,µg/m3,2015-12-21 08:00:00,158.0,313.0,441.0
219,PM2.5,Stateair.mn,µg/m3,2015-12-21 09:00:00,360.0,158.0,313.0
220,PM2.5,Stateair.mn,µg/m3,2015-12-21 10:00:00,374.0,360.0,158.0
221,PM2.5,Stateair.mn,µg/m3,2015-12-21 11:00:00,520.0,374.0,360.0
222,PM2.5,Stateair.mn,µg/m3,2015-12-21 12:00:00,300.0,520.0,374.0
223,PM2.5,Stateair.mn,µg/m3,2015-12-21 13:00:00,273.0,300.0,520.0
224,PM2.5,Stateair.mn,µg/m3,2015-12-21 14:00:00,315.0,273.0,300.0
225,PM2.5,Stateair.mn,µg/m3,2015-12-21 15:00:00,31.0,315.0,273.0
226,PM2.5,Stateair.mn,µg/m3,2015-12-21 16:00:00,39.0,31.0,315.0
227,PM2.5,Stateair.mn,µg/m3,2015-12-21 17:00:00,28.0,39.0,31.0
228,PM2.5,Stateair.mn,µg/m3,2015-12-21 18:00:00,28.0,28.0,39.0
229,PM2.5,Stateair.mn,µg/m3,2015-12-21 19:00:00,28.0,28.0,28.0
230,PM2.5,Stateair.mn,µg/m3,2015-12-21 20:00:00,37.0,28.0,28.0
231,PM2.5,Stateair.mn,µg/m3,2015-12-21 21:00:00,43.0,37.0,28.0
232,PM2.5,Stateair.mn,µg/m3,2015-12-21 22:00:00,36.0,43.0,37.0
233,PM2.5,Stateair.mn,µg/m3,2015-12-21 23:00:00,35.0,36.0,43.0
234,PM2.5,Stateair.mn,µg/m3,2015-12-22 00:00:00,53.0,35.0,36.0
235,PM2.5,Stateair.mn,µg/m3,2015-12-22 01:00:00,36.0,53.0,35.0
236,PM2.5,Stateair.mn,µg/m3,2015-12-22 02:00:00,33.0,36.0,53.0
237,PM2.5,Stateair.mn,µg/m3,2015-12-22 03:00:00,50.0,33.0,36.0
238,PM2.5,Stateair.mn,µg/m3,2015-12-22 04:00:00,70.0,50.0,33.0
239,PM2.5,Stateair.mn,µg/m3,2015-12-22 05:00:00,153.0,70.0,50.0
240,PM2.5,Stateair.mn,µg/m3,2015-12-22 06:00:00,117.0,153.0,70.0
241,PM2.5,Stateair.mn,µg/m3,2015-12-22 07:00:00,69.0,117.0,153.0
242,PM2.5,Stateair.mn,µg/m3,2015-12-22 08:00:00,143.0,69.0,117.0
243,PM2.5,Stateair.mn,µg/m3,2015-12-22 09:00:00,173.0,143.0,69.0
244,PM2.5,Stateair.mn,µg/m3,2015-12-22 10:00:00,276.0,173.0,143.0
245,PM2.5,Stateair.mn,µg/m3,2015-12-22 11:00:00,254.0,276.0,173.0
246,PM2.5,Stateair.mn,µg/m3,2015-12-22 12:00:00,84.0,254.0,276.0
247,PM2.5,Stateair.mn,µg/m3,2015-12-22 13:00:00,143.0,84.0,254.0
248,PM2.5,Stateair.mn,µg/m3,2015-12-22 14:00:00,77.0,143.0,84.0
249,PM2.5,Stateair.mn,µg/m3,2015-12-22 15:00:00,69.0,77.0,143.0
250,PM2.5,Stateair.mn,µg/m3,2015-12-22 16:00:00,39.0,69.0,77.0
251,PM2.5,Stateair.mn,µg/m3,2015-12-22 17:00:00,32.0,39.0,69.0
252,PM2.5,Stateair.mn,µg/m3,2015-12-22 18:00:00,35.0,32.0,39.0
253,PM2.5,Stateair.mn,µg/m3,2015-12-22 19:00:00,40.0,35.0,32.0
254,PM2.5,Stateair.mn,µg/m3,2015-12-22 20:00:00,79.0,40.0,35.0
255,PM2.5,Stateair.mn,µg/m3,2015-12-22 21:00:00,95.0,79.0,40.0
256,PM2.5,Stateair.mn,µg/m3,2015-12-22 22:00:00,104.0,95.0,79.0
257,PM2.5,Stateair.mn,µg/m3,2015-12-22 23:00:00,98.0,104.0,95.0
258,PM2.5,Stateair.mn,µg/m3,2015-12-23 00:00:00,82.0,98.0,104.0
259,PM2.5,Stateair.mn,µg/m3,2015-12-23 01:00:00,70.0,82.0,98.0
260,PM2.5,Stateair.mn,µg/m3,2015-12-23 02:00:00,53.0,70.0,82.0
261,PM2.5,Stateair.mn,µg/m3,2015-12-23 03:00:00,48.0,53.0,70.0
262,PM2.5,Stateair.mn,µg/m3,2015-12-23 04:00:00,67.0,48.0,53.0
263,PM2.5,Stateair.mn,µg/m3,2015-12-23 05:00:00,60.0,67.0,48.0
264,PM2.5,Stateair.mn,µg/m3,2015-12-23 06:00:00,99.0,60.0,67.0
265,PM2.5,Stateair.mn,µg/m3,2015-12-23 07:00:00,61.0,99.0,60.0
266,PM2.5,Stateair.mn,µg/m3,2015-12-23 08:00:00,101.0,61.0,99.0
267,PM2.5,Stateair.mn,µg/m3,2015-12-23 09:00:00,70.0,101.0,61.0
268,PM2.5,Stateair.mn,µg/m3,2015-12-23 10:00:00,186.0,70.0,101.0
269,PM2.5,Stateair.mn,µg/m3,2015-12-23 11:00:00,300.0,186.0,70.0
270,PM2.5,Stateair.mn,µg/m3,2015-12-23 12:00:00,230.0,300.0,186.0
271,PM2.5,Stateair.mn,µg/m3,2015-12-23 13:00:00,190.0,230.0,300.0
272,PM2.5,Stateair.mn,µg/m3,2015-12-23 14:00:00,137.0,190.0,230.0
273,PM2.5,Stateair.mn,µg/m3,2015-12-23 15:00:00,113.0,137.0,190.0
274,PM2.5,Stateair.mn,µg/m3,2015-12-23 16:00:00,92.0,113.0,137.0
275,PM2.5,Stateair.mn,µg/m3,2015-12-23 17:00:00,79.0,92.0,113.0
276,PM2.5,Stateair.mn,µg/m3,2015-12-23 18:00:00,82.0,79.0,92.0
277,PM2.5,Stateair.mn,µg/m3,2015-12-23 19:00:00,146.0,82.0,79.0
278,PM2.5,Stateair.mn,µg/m3,2015-12-23 20:00:00,166.0,146.0,82.0
279,PM2.5,Stateair.mn,µg/m3,2015-12-23 21:00:00,138.0,166.0,146.0
280,PM2.5,Stateair.mn,µg/m3,2015-12-23 22:00:00,229.0,138.0,166.0
281,PM2.5,Stateair.mn,µg/m3,2015-12-23 23:00:00,447.0,229.0,138.0
282,PM2.5,Stateair.mn,µg/m3,2015-12-24 00:00:00,342.0,447.0,229.0
283,PM2.5,Stateair.mn,µg/m3,2015-12-24 01:00:00,393.0,342.0,447.0
284,PM2.5,Stateair.mn,µg/m3,2015-12-24 02:00:00,374.0,393.0,342.0
285,PM2.5,Stateair.mn,µg/m3,2015-12-24 03:00:00,353.0,374.0,393.0
286,PM2.5,Stateair.mn,µg/m3,2015-12-24 04:00:00,338.0,353.0,374.0
287,PM2.5,Stateair.mn,µg/m3,2015-12-24 05:00:00,292.0,338.0,353.0
288,PM2.5,Stateair.mn,µg/m3,2015-12-24 06:00:00,220.0,292.0,338.0
289,PM2.5,Stateair.mn,µg/m3,2015-12-24 07:00:00,204.0,220.0,292.0
290,PM2.5,Stateair.mn,µg/m3,2015-12-24 08:00:00,185.0,204.0,220.0
291,PM2.5,Stateair.mn,µg/m3,2015-12-24 09:00:00,194.0,185.0,204.0
292,PM2.5,Stateair.mn,µg/m3,2015-12-24 10:00:00,320.0,194.0,185.0
293,PM2.5,Stateair.mn,µg/m3,2015-12-24 11:00:00,995.0,320.0,194.0
294,PM2.5,Stateair.mn,µg/m3,2015-12-24 12:00:00,995.0,995.0,320.0
295,PM2.5,Stateair.mn,µg/m3,2015-12-24 13:00:00,194.0,995.0,995.0
296,PM2.5,Stateair.mn,µg/m3,2015-12-24 14:00:00,-999.0,194.0,995.0
